rule_id,run,generation_line,generation,relative_path,rule_index,categories,rule_text,classification_reason
00041,3 generationLine1,direct,3,3 generationLine1\3\knowledgebase.txt,7,Communication|Self Preservation,"Never idle or do nothing; always attack, move, eat, or communicate status/threats.","explicit speaking, messaging, alerting, or communication/logging control; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00042,3 generationLine1,direct,3,3 generationLine1\3\knowledgebase.txt,8,Mutualism|Spatial Coordination & Architecture|Self Preservation,"Prioritize self-heal, retreat, and partner coverage over kills; both use same safe spot.","explicit role, coverage, cooperation, or tactical task-splitting language; explicit positioning, distance, retreat movement, pathing, or environment alteration; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00043,3 generationLine1,direct,4,3 generationLine1\4\knowledgebase.txt,1,Communication,"Equip leather tunic to chest and stone sword to hand immediately upon pickup, communicate ""Equipped tunic/sword, [other items]"" to partner.","explicit speaking, messaging, alerting, or communication/logging control"
00044,3 generationLine1,direct,4,3 generationLine1\4\knowledgebase.txt,2,Communication|Self Preservation,Eat bread until full immediately upon any damage taken or health <15; combine with move/communicate.,"explicit speaking, messaging, alerting, or communication/logging control; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00045,3 generationLine1,direct,4,3 generationLine1\4\knowledgebase.txt,3,Communication|Mutualism,"Attack closest hostile: melee <5 blocks, bow >=5; communicate ""Attacking [ID] [melee/bow], cover me"".","explicit speaking, messaging, alerting, or communication/logging control; explicit role, coverage, cooperation, or tactical task-splitting language"
00046,3 generationLine1,direct,4,3 generationLine1\4\knowledgebase.txt,4,Communication|Spatial Coordination & Architecture|Self Preservation,"If health <6, retreating, partner health <10 or retreating: move to x=-20 z=20 + eat/communicate IMMEDIATELY; do NOT attack even close mobs.","explicit speaking, messaging, alerting, or communication/logging control; explicit positioning, distance, retreat movement, pathing, or environment alteration; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00047,3 generationLine1,direct,4,3 generationLine1\4\knowledgebase.txt,5,Communication|Self Preservation,"Communicate EVERY turn: health ""Health [X]"", eating, damage, hostiles ""Zombie/skeleton [ID] at [dist]"", plans ""Retreating, cover"".","explicit speaking, messaging, alerting, or communication/logging control; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00048,3 generationLine1,direct,4,3 generationLine1\4\knowledgebase.txt,6,Altruism|Mutualism,"Coordinate: one melee close, one bow ranged; if partner retreats follow immediately and cover from afar; never solo advance/patrol.","explicitly protects, covers, acknowledges, or aids a teammate/ally; explicit role, coverage, cooperation, or tactical task-splitting language"
00049,3 generationLine1,direct,4,3 generationLine1\4\knowledgebase.txt,7,Communication|Self Preservation,"Never idle: always attack (if safe), eat, move, or communicate.","explicit speaking, messaging, alerting, or communication/logging control; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00050,3 generationLine1,direct,4,3 generationLine1\4\knowledgebase.txt,8,Spatial Coordination & Architecture|Self Preservation,Prioritize self-heal/eat > retreat > partner cover > kills; same safe spot x=-20 z=20.,"explicit positioning, distance, retreat movement, pathing, or environment alteration; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00051,3 generationLine1,direct,5,3 generationLine1\5\knowledgebase.txt,1,Communication|Mutualism,"Equip leather tunic to chest and stone sword to hand immediately upon pickup, communicate ""Equipped tunic/sword, [other items incl. bow/arrows]"" to partner. Assign roles: ""I [melee/bow], you [bow/melee]"".","explicit speaking, messaging, alerting, or communication/logging control; explicit role, coverage, cooperation, or tactical task-splitting language"
00052,3 generationLine1,direct,5,3 generationLine1\5\knowledgebase.txt,2,Communication|Self Preservation,"Eat bread until full if health <20, damage taken, or after kills; always combine with communicate; eat proactively when safe.","explicit speaking, messaging, alerting, or communication/logging control; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00053,3 generationLine1,direct,5,3 generationLine1\5\knowledgebase.txt,3,Communication|Mutualism,"Attack closest hostile: melee <5 blocks, bow/switch to bow >=5; communicate ""Attacking [ID] [melee/bow], cover me [specific threats]"".","explicit speaking, messaging, alerting, or communication/logging control; explicit role, coverage, cooperation, or tactical task-splitting language"
00054,3 generationLine1,direct,5,3 generationLine1\5\knowledgebase.txt,4,Communication|Spatial Coordination & Architecture|Self Preservation,"If health <8, partner health <12/dying/retreating, or >2 hostiles: retreat to x=-20 z=20 + eat/communicate IMMEDIATELY; do NOT attack/engage.","explicit speaking, messaging, alerting, or communication/logging control; explicit positioning, distance, retreat movement, pathing, or environment alteration; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00055,3 generationLine1,direct,5,3 generationLine1\5\knowledgebase.txt,5,Communication|Self Preservation,"Communicate EVERY turn: ""Health [X]"", eating/damage/status, hostiles ""[type] [ID] at [dist]"", plans ""Attacking [ID]/Retreating/clear"".","explicit speaking, messaging, alerting, or communication/logging control; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00056,3 generationLine1,direct,5,3 generationLine1\5\knowledgebase.txt,6,Altruism|Mutualism,"Coordinate: one melee close threats, one bows ranged/backup; if partner attacked/retreats, cover immediately or follow; NEVER solo patrol/advance/engage.","explicitly protects, covers, acknowledges, or aids a teammate/ally; explicit role, coverage, cooperation, or tactical task-splitting language"
00057,3 generationLine1,direct,5,3 generationLine1\5\knowledgebase.txt,7,Communication|Self Preservation,"NEVER use patrol_area (risks new mobs); when no hostiles: eat to full + communicate ""Clear, Health [X], ready/cover"" + do_nothing/move safe together.","explicit speaking, messaging, alerting, or communication/logging control; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00058,3 generationLine1,direct,5,3 generationLine1\5\knowledgebase.txt,8,Spatial Coordination & Architecture|Self Preservation,Prioritize: self-heal/eat > retreat to x=-20 z=20 > partner cover > kills; stay defensive near safe spot.,"explicit positioning, distance, retreat movement, pathing, or environment alteration; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00059,4 generationLine2,direct,2,4 generationLine2\2\knowledgebase.txt,1,Self Preservation,"Equip ""leather_chestplate"" immediately for protection.","explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00060,4 generationLine2,direct,2,4 generationLine2\2\knowledgebase.txt,2,Self Preservation,"Eat ""bread_until_full"" whenever health drops below 10.","explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00061,4 generationLine2,direct,2,4 generationLine2\2\knowledgebase.txt,3,,"Equip ""stone_sword"" and ""melee_attack"" the closest zombie (under 5 blocks).",
00062,4 generationLine2,direct,2,4 generationLine2\2\knowledgebase.txt,4,,"Use ""bow_attack"" only on distant zombies; switch to melee if they close in.",
00063,4 generationLine2,direct,2,4 generationLine2\2\knowledgebase.txt,5,Communication,"Send warnings to teammates: ""Warning: [mob type] approaching! IDs [IDs] ([distances]). [Plan].""","explicit speaking, messaging, alerting, or communication/logging control"
00064,4 generationLine2,direct,2,4 generationLine2\2\knowledgebase.txt,6,Self Preservation,Ignore new items if under attack; eat and fight first.,"explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00065,4 generationLine2,direct,3,4 generationLine2\3\knowledgebase.txt,1,Self Preservation,"Equip ""leather_chestplate"" immediately for protection.","explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00066,4 generationLine2,direct,3,4 generationLine2\3\knowledgebase.txt,2,Self Preservation,"Eat ""eat_bread_until_full"" immediately if health drops below 10 or ""health is low"".","explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00067,4 generationLine2,direct,3,4 generationLine2\3\knowledgebase.txt,3,,"Equip ""stone_sword"" then ""melee_attack"" closest zombie first (<4 blocks).",
00068,4 generationLine2,direct,3,4 generationLine2\3\knowledgebase.txt,4,,"Equip ""bow"" and ""bow_attack"" zombies >8 blocks; switch to melee if closing.",
00069,4 generationLine2,direct,3,4 generationLine2\3\knowledgebase.txt,5,Self Preservation,"Maintain ""maintain_line_of_sight"" to teammates (distance:2, mode:""defensive"") when safe.","explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00070,4 generationLine2,direct,3,4 generationLine2\3\knowledgebase.txt,6,Communication|Self Preservation,"Send updates to teammates: ""[Status]. Threats: [mob IDs] ([distances]). Plan: [attacks/eat]. Stay close!""","explicit speaking, messaging, alerting, or communication/logging control; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00071,4 generationLine2,direct,3,4 generationLine2\3\knowledgebase.txt,7,Self Preservation,Ignore items and non-threat actions under attack; prioritize eat/fight.,"explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00072,4 generationLine2,direct,4,4 generationLine2\4\knowledgebase.txt,1,Self Preservation,"Equip ""leather_chestplate"" immediately for protection.","explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00073,4 generationLine2,direct,4,4 generationLine2\4\knowledgebase.txt,2,,"Equip ""stone_sword"" in hand before any melee_attack.",
00074,4 generationLine2,direct,4,4 generationLine2\4\knowledgebase.txt,3,Self Preservation,"Eat ""eat_bread_until_full"" if health <15, after damage, or post-fight.","explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00075,4 generationLine2,direct,4,4 generationLine2\4\knowledgebase.txt,4,,Melee_attack closest zombie first (<5 blocks); use bow only >8 blocks with LOS to team.,
00076,4 generationLine2,direct,4,4 generationLine2\4\knowledgebase.txt,5,Self Preservation,"Prioritize ""maintain_line_of_sight"" to teammates (distance:2, mode:""defensive"") unless threat <2 blocks; restore ASAP after.","explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00077,4 generationLine2,direct,4,4 generationLine2\4\knowledgebase.txt,6,Communication|Self Preservation,"Send updates post-action: ""[Status/CLEARED]. Threats: [mob IDs] ([distances]). Plan: [eat/fight]. Stay close!""","explicit speaking, messaging, alerting, or communication/logging control; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00078,4 generationLine2,direct,4,4 generationLine2\4\knowledgebase.txt,7,Self Preservation,"Under attack + low health (<12), eat first, fight second.","explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00079,4 generationLine2,direct,4,4 generationLine2\4\knowledgebase.txt,8,Self Preservation,Ignore items/pickups/non-threats until safe; never separate from team.,"explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00080,4 generationLine2,direct,5,4 generationLine2\5\knowledgebase.txt,1,Self Preservation,"Equip ""leather_chestplate"" immediately for protection.","explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00081,4 generationLine2,direct,5,4 generationLine2\5\knowledgebase.txt,2,,"Always ""equip_item_in_hand stone_sword"" before any melee_attack.",
00082,4 generationLine2,direct,5,4 generationLine2\5\knowledgebase.txt,3,Self Preservation,"Eat ""eat_bread_until_full"" immediately if health <15, after damage, or post-fight.","explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00083,4 generationLine2,direct,5,4 generationLine2\5\knowledgebase.txt,4,Communication|Self Preservation,"If health <12, eat first + ""maintain_line_of_sight"" (distance:2, mode:""defensive"") + message; do not attack until >15.","explicit speaking, messaging, alerting, or communication/logging control; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00084,4 generationLine2,direct,5,4 generationLine2\5\knowledgebase.txt,5,,Melee_attack closest zombie first (<5 blocks); use bow only >8 blocks with LOS to team.,
00085,4 generationLine2,direct,5,4 generationLine2\5\knowledgebase.txt,6,Self Preservation,"Prioritize ""maintain_line_of_sight"" to teammates (distance:2, mode:""defensive"") before attack unless threat <2 blocks; restore ASAP.","explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00086,4 generationLine2,direct,5,4 generationLine2\5\knowledgebase.txt,7,Communication|Self Preservation,"Send updates every turn: ""[Status: health #]. Threats: [mob IDs (distances)]. Plan: [eat/fight/regroup]. Stay close!""","explicit speaking, messaging, alerting, or communication/logging control; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00087,4 generationLine2,direct,5,4 generationLine2\5\knowledgebase.txt,8,Self Preservation,Ignore items/pickups/non-threats until safe; never separate from team.,"explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00088,5 generationLine3,direct,2,5 generationLine3\2\knowledgebase.txt,1,,Immediately equip stone sword in hand and leather chestplate/tunic on torso.,
00089,5 generationLine3,direct,2,5 generationLine3\2\knowledgebase.txt,2,Self Preservation,Attack only the closest zombie (prefer <5 blocks away) to avoid swarms.,"explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00090,5 generationLine3,direct,2,5 generationLine3\2\knowledgebase.txt,3,Self Preservation,Eat bread after any damage or when health <15.,"explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00091,5 generationLine3,direct,2,5 generationLine3\2\knowledgebase.txt,4,,Use bow and arrows on distant zombies (>5 blocks).,
00092,5 generationLine3,direct,2,5 generationLine3\2\knowledgebase.txt,5,Communication|Self Preservation,Send message to teammates if health <10 or multiple zombies nearby.,"explicit speaking, messaging, alerting, or communication/logging control; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00093,5 generationLine3,direct,2,5 generationLine3\2\knowledgebase.txt,6,Spatial Coordination & Architecture|Self Preservation,"Move toward safer coordinates (e.g., bases or away from spawns) when no immediate threats.","explicit positioning, distance, retreat movement, pathing, or environment alteration; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00094,5 generationLine3,direct,2,5 generationLine3\2\knowledgebase.txt,7,Spatial Coordination & Architecture,Place oak planks to build quick walls or shelter when swarmed.,"explicit positioning, distance, retreat movement, pathing, or environment alteration"
00095,5 generationLine3,direct,2,5 generationLine3\2\knowledgebase.txt,8,Mutualism|Self Preservation,Avoid attacking out-of-range targets; reposition first.,"explicit role, coverage, cooperation, or tactical task-splitting language; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00096,5 generationLine3,direct,3,5 generationLine3\3\knowledgebase.txt,1,Self Preservation,Immediately equip stone sword in hand and leather tunic/chestplate on torso.,"explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00097,5 generationLine3,direct,3,5 generationLine3\3\knowledgebase.txt,2,Self Preservation,Attack only closest zombie (<5 blocks away) with sword; avoid swarms.,"explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00098,5 generationLine3,direct,3,5 generationLine3\3\knowledgebase.txt,3,,Place oak planks for walls/shelter when 3+ zombies nearby or swarmed.,
00099,5 generationLine3,direct,3,5 generationLine3\3\knowledgebase.txt,4,,Use bow only on zombies >10 blocks with no close threats (<7 blocks).,
00100,5 generationLine3,direct,3,5 generationLine3\3\knowledgebase.txt,5,Self Preservation,Eat bread immediately after damage or if health <12.,"explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00101,5 generationLine3,direct,3,5 generationLine3\3\knowledgebase.txt,6,Spatial Coordination & Architecture|Self Preservation,"If health <10, eat bread and move to safety; do not attack.","explicit positioning, distance, retreat movement, pathing, or environment alteration; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00102,5 generationLine3,direct,3,5 generationLine3\3\knowledgebase.txt,7,Communication|Self Preservation,"Send message to teammates if health <12, damage taken, or 3+ zombies nearby.","explicit speaking, messaging, alerting, or communication/logging control; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00103,5 generationLine3,direct,3,5 generationLine3\3\knowledgebase.txt,8,Spatial Coordination & Architecture|Self Preservation,"Move to safer spots (bases, away from spawns) when low health or no threats.","explicit positioning, distance, retreat movement, pathing, or environment alteration; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00104,5 generationLine3,direct,3,5 generationLine3\3\knowledgebase.txt,9,Mutualism|Self Preservation,"Avoid attacking out-of-range, unequipped, or low health targets.","explicit role, coverage, cooperation, or tactical task-splitting language; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00105,5 generationLine3,direct,4,5 generationLine3\4\knowledgebase.txt,1,Self Preservation,Immediately equip stone sword in hand and leather tunic on torso upon pickup.,"explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00106,5 generationLine3,direct,4,5 generationLine3\4\knowledgebase.txt,2,Mutualism,"Proactively coordinate after equipping: focus closest zombie together; melee closest <5 blocks, bow support >7 blocks.","explicit role, coverage, cooperation, or tactical task-splitting language"
00107,5 generationLine3,direct,4,5 generationLine3\4\knowledgebase.txt,3,Spatial Coordination & Architecture|Self Preservation,"Attack only closest zombie (<5 blocks) with sword; pick one at a time, retreat if 4+ swarming.","explicit positioning, distance, retreat movement, pathing, or environment alteration; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00108,5 generationLine3,direct,4,5 generationLine3\4\knowledgebase.txt,4,Spatial Coordination & Architecture,Place oak planks to build shelter if 4+ zombies nearby.,"explicit positioning, distance, retreat movement, pathing, or environment alteration"
00109,5 generationLine3,direct,4,5 generationLine3\4\knowledgebase.txt,5,,Use bow only on zombies >10 blocks with no threats <7 blocks.,
00110,5 generationLine3,direct,4,5 generationLine3\4\knowledgebase.txt,6,Self Preservation,Eat bread until full immediately after damage or if health <12.,"explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00111,5 generationLine3,direct,4,5 generationLine3\4\knowledgebase.txt,7,Communication|Spatial Coordination & Architecture|Self Preservation,"If health <10 or teammate health <12, eat bread until full, send retreat message to safe coord (e.g., (-20, 0, -10)), move there; do not attack.","explicit speaking, messaging, alerting, or communication/logging control; explicit positioning, distance, retreat movement, pathing, or environment alteration; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00112,5 generationLine3,direct,4,5 generationLine3\4\knowledgebase.txt,8,Communication|Self Preservation,"Send message to teammates on damage taken, health <12, or 3+ zombies nearby.","explicit speaking, messaging, alerting, or communication/logging control; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00113,5 generationLine3,direct,4,5 generationLine3\4\knowledgebase.txt,9,Spatial Coordination & Architecture|Self Preservation,Move to safe spots away from spawns (negative coords) when low health or no threats.,"explicit positioning, distance, retreat movement, pathing, or environment alteration; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00114,5 generationLine3,direct,4,5 generationLine3\4\knowledgebase.txt,10,Mutualism|Self Preservation,"Avoid attacking out-of-range, unequipped, low health (<12), or swarmed targets.","explicit role, coverage, cooperation, or tactical task-splitting language; explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00115,5 generationLine3,direct,5,5 generationLine3\5\knowledgebase.txt,1,Self Preservation,Immediately equip stone sword in hand and leather tunic on torso upon pickup.,"explicit individual health, escape, healing, safety, defensive gear, or risk-avoidance language"
00116,5 generationLine3,direct,5,5 generationLine3\5\knowledgebase.txt,2,Mutualism,"Proactively coordinate: focus closest zombie together; melee closest <5 blocks if <3 total zombies, bow support >12 blocks only if no threats <8 blocks.","explicit role, coverage, cooperation, or tactical task-splitting language"
